07:18:20.466565 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 2434048873, win 65535, length 0
07:18:20.467168 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467175 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.467189 IP 213.248.46.28.1141 > 178.32.215.69.6667: Flags [.], ack 3509716502, win 65535, length 0
07:18:20.467196 IP 178.32.215.69.6667 > 213.248.46.28.1141: Flags [R], seq 3509716502, win 0, length 0
07:18:20.467210 IP 67.201.39.227.1956 > 178.32.215.69.6667: Flags [.], ack 2289476191, win 65535, length 0
07:18:20.467217 IP 178.32.215.69.6667 > 67.201.39.227.1956: Flags [R], seq 2289476191, win 0, length 0
07:18:20.467231 IP 218.232.75.112.1309 > 178.32.215.69.6667: Flags [.], ack 4159147630, win 65535, length 0
07:18:20.467238 IP 178.32.215.69.6667 > 218.232.75.112.1309: Flags [R], seq 4159147630, win 0, length 0
07:18:20.467252 IP 211.151.228.18.1362 > 178.32.215.69.6667: Flags [.], ack 1626857485, win 65535, length 0
07:18:20.467260 IP 178.32.215.69.6667 > 211.151.228.18.1362: Flags [R], seq 1626857485, win 0, length 0
07:18:20.467280 IP 210.172.196.167.1482 > 178.32.215.69.6667: Flags [.], ack 3001239876, win 65535, length 0
07:18:20.467292 IP 178.32.215.69.6667 > 210.172.196.167.1482: Flags [R], seq 3001239876, win 0, length 0
07:18:20.467315 IP 202.53.64.123.1369 > 178.32.215.69.90: Flags [.], ack 827351882, win 65535, length 0
07:18:20.467323 IP 218.1.73.246.1556 > 178.32.215.69.24471: Flags [.], ack 3160196730, win 65535, length 0
07:18:20.467326 IP 91.186.249.24.1335 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467331 IP 178.32.215.69.6667 > 91.186.249.24.1335: Flags [R], seq 3843379829, win 0, length 0
07:18:20.467347 IP 211.154.142.247.1185 > 178.32.215.69.6667: Flags [.], ack 3833783307, win 65535, length 0
07:18:20.467355 IP 178.32.215.69.6667 > 211.154.142.247.1185: Flags [R], seq 3833783307, win 0, length 0
07:18:20.467370 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467377 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.467399 IP 220.181.130.183.1413 > 178.32.215.69.25095: Flags [.], ack 3773248598, win 65535, length 0
07:18:20.467404 IP 202.96.188.23.2004 > 178.32.215.69.6667: Flags [.], ack 387813420, win 65535, length 0
07:18:20.467409 IP 178.32.215.69.6667 > 202.96.188.23.2004: Flags [R], seq 387813420, win 0, length 0
07:18:20.467438 IP 180.153.148.248.1339 > 178.32.215.69.25097: Flags [.], ack 609523514, win 65535, length 0
07:18:20.467443 IP 85.25.195.164.1096 > 178.32.215.69.6667: Flags [.], ack 1441634407, win 65535, length 0
07:18:20.467449 IP 178.32.215.69.6667 > 85.25.195.164.1096: Flags [R], seq 1441634407, win 0, length 0
07:18:20.467464 IP 85.25.195.164.1096 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467471 IP 178.32.215.69.6667 > 85.25.195.164.1096: Flags [R], seq 1441634407, win 0, length 0
07:18:20.467486 IP 85.25.195.164.1096 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467493 IP 178.32.215.69.6667 > 85.25.195.164.1096: Flags [R], seq 1441634407, win 0, length 0
07:18:20.467507 IP 72.51.39.197.1510 > 178.32.215.69.6667: Flags [.], ack 2719638537, win 65535, length 0
07:18:20.467514 IP 178.32.215.69.6667 > 72.51.39.197.1510: Flags [R], seq 2719638537, win 0, length 0
07:18:20.467528 IP 61.19.148.61.1261 > 178.32.215.69.6667: Flags [.], ack 2220196473, win 65535, length 0
07:18:20.467535 IP 178.32.215.69.6667 > 61.19.148.61.1261: Flags [R], seq 2220196473, win 0, length 0
07:18:20.467550 IP 177.54.11.246.1242 > 178.32.215.69.51679: Flags [.], ack 330000191, win 65535, length 0
07:18:20.467555 IP 178.255.74.187.1547 > 178.32.215.69.4: Flags [.], ack 2717487723, win 65535, length 0
07:18:20.467557 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467562 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.467576 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467583 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.467597 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467604 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.467618 IP 194.110.185.110.1985 > 178.32.215.69.6667: Flags [.], ack 1924267531, win 65535, length 0
07:18:20.467625 IP 178.32.215.69.6667 > 194.110.185.110.1985: Flags [R], seq 1924267531, win 0, length 0
07:18:20.467639 IP 82.208.70.5.1574 > 178.32.215.69.6667: Flags [.], ack 2316601375, win 65535, length 0
07:18:20.467646 IP 178.32.215.69.6667 > 82.208.70.5.1574: Flags [R], seq 2316601375, win 0, length 0
07:18:20.467661 IP 217.144.201.160.1662 > 178.32.215.69.6667: Flags [.], ack 2357414169, win 65535, length 0
07:18:20.467668 IP 178.32.215.69.6667 > 217.144.201.160.1662: Flags [R], seq 2357414169, win 0, length 0
07:18:20.467701 IP 69.60.116.165.1680 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467708 IP 178.32.215.69.6667 > 69.60.116.165.1680: Flags [R], seq 1825719620, win 0, length 0
07:18:20.467723 IP 219.94.175.126.1477 > 178.32.215.69.6667: Flags [.], ack 1965360933, win 65535, length 0
07:18:20.467731 IP 178.32.215.69.6667 > 219.94.175.126.1477: Flags [R], seq 1965360933, win 0, length 0
07:18:20.467745 IP 221.11.157.1.1396 > 178.32.215.69.108: Flags [.], ack 863292485, win 65535, length 0
07:18:20.467750 IP 203.34.37.119.1180 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467755 IP 178.32.215.69.6667 > 203.34.37.119.1180: Flags [R], seq 1714376731, win 0, length 0
07:18:20.467776 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1824872048, win 65535, length 0
07:18:20.467787 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.467807 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467815 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.467830 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467837 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.467851 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467858 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.467873 IP 95.173.188.112.1772 > 178.32.215.69.6667: Flags [.], ack 3575486842, win 65535, length 0
07:18:20.467880 IP 178.32.215.69.6667 > 95.173.188.112.1772: Flags [R], seq 3575486842, win 0, length 0
07:18:20.467894 IP 27.112.8.246.1721 > 178.32.215.69.34: Flags [.], ack 2156426336, win 65535, length 0
07:18:20.467899 IP 222.80.184.115.1004 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467904 IP 178.32.215.69.6667 > 222.80.184.115.1004: Flags [R], seq 1824872048, win 0, length 0
07:18:20.467918 IP 203.160.57.118.1569 > 178.32.215.69.6667: Flags [.], ack 2191028824, win 65535, length 0
07:18:20.467926 IP 178.32.215.69.6667 > 203.160.57.118.1569: Flags [R], seq 2191028824, win 0, length 0
07:18:20.467940 IP 203.160.57.118.1569 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467947 IP 178.32.215.69.6667 > 203.160.57.118.1569: Flags [R], seq 2191028824, win 0, length 0
07:18:20.467962 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467972 IP 178.32.215.69.6667 > 209.73.140.70.1801: Flags [R], seq 2434048873, win 0, length 0
07:18:20.467988 IP 85.25.195.164.1096 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.467996 IP 178.32.215.69.6667 > 85.25.195.164.1096: Flags [R], seq 1441634407, win 0, length 0
07:18:20.468010 IP 87.229.24.109.1478 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468019 IP 178.32.215.69.6667 > 87.229.24.109.1478: Flags [R], seq 969638223, win 0, length 0
07:18:20.468043 IP 209.73.140.129.1969 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468052 IP 178.32.215.69.6667 > 209.73.140.129.1969: Flags [R], seq 1098598731, win 0, length 0
07:18:20.468086 IP 196.0.3.169.1673 > 178.32.215.69.6667: Flags [.], ack 2596055933, win 65535, length 0
07:18:20.468096 IP 178.32.215.69.6667 > 196.0.3.169.1673: Flags [R], seq 2596055933, win 0, length 0
07:18:20.468112 IP 61.130.156.250.1317 > 178.32.215.69.37403: Flags [.], ack 162608397, win 65535, length 0
07:18:20.468117 IP 218.202.90.112.1549 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468122 IP 178.32.215.69.6667 > 218.202.90.112.1549: Flags [R], seq 2247065175, win 0, length 0
07:18:20.468137 IP 77.46.136.48.1938 > 178.32.215.69.6667: Flags [.], ack 3305492813, win 65535, length 0
07:18:20.468144 IP 178.32.215.69.6667 > 77.46.136.48.1938: Flags [R], seq 3305492813, win 0, length 0
07:18:20.468159 IP 219.147.255.123.1437 > 178.32.215.69.50277: Flags [.], ack 2525585698, win 65535, length 0
07:18:20.468164 IP 202.169.46.205.1814 > 178.32.215.69.6667: Flags [.], ack 3779812177, win 65535, length 0
07:18:20.468169 IP 178.32.215.69.6667 > 202.169.46.205.1814: Flags [R], seq 3779812177, win 0, length 0
07:18:20.468183 IP 80.252.104.30.1322 > 178.32.215.69.6667: Flags [.], ack 1170383433, win 65535, length 0
07:18:20.468190 IP 178.32.215.69.6667 > 80.252.104.30.1322: Flags [R], seq 1170383433, win 0, length 0
07:18:20.468205 IP 66.251.253.150.1528 > 178.32.215.69.6667: Flags [.], ack 3830487083, win 65535, length 0
07:18:20.468212 IP 178.32.215.69.6667 > 66.251.253.150.1528: Flags [R], seq 3830487083, win 0, length 0
07:18:20.468226 IP 91.186.249.24.1335 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468234 IP 178.32.215.69.6667 > 91.186.249.24.1335: Flags [R], seq 3843379829, win 0, length 0
07:18:20.468248 IP 211.210.0.53.1025 > 178.32.215.69.6667: Flags [.], ack 1542696544, win 65535, length 0
07:18:20.468255 IP 178.32.215.69.6667 > 211.210.0.53.1025: Flags [R], seq 1542696544, win 0, length 0
07:18:20.468270 IP 27.112.8.246.1721 > 178.32.215.69.58: Flags [.], ack 2156426336, win 65535, length 0
07:18:20.468276 IP 201.20.111.116.1414 > 178.32.215.69.6667: Flags [.], ack 4214860600, win 65535, length 0
07:18:20.468285 IP 178.32.215.69.6667 > 201.20.111.116.1414: Flags [R], seq 4214860600, win 0, length 0
07:18:20.468308 IP 60.28.26.108.1674 > 178.32.215.69.6667: Flags [.], ack 1681159209, win 65535, length 0
07:18:20.468319 IP 178.32.215.69.6667 > 60.28.26.108.1674: Flags [R], seq 1681159209, win 0, length 0
07:18:20.468340 IP 66.148.121.243.1589 > 178.32.215.69.6667: Flags [.], ack 1949265522, win 65535, length 0
07:18:20.468349 IP 178.32.215.69.6667 > 66.148.121.243.1589: Flags [R], seq 1949265522, win 0, length 0
07:18:20.468364 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468371 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.468393 IP 177.54.11.246.1242 > 178.32.215.69.51725: Flags [.], ack 330000191, win 65535, length 0
07:18:20.468398 IP 211.125.117.42.1949 > 178.32.215.69.6667: Flags [.], ack 4230577714, win 65535, length 0
07:18:20.468403 IP 178.32.215.69.6667 > 211.125.117.42.1949: Flags [R], seq 4230577714, win 0, length 0
07:18:20.468433 IP 72.166.145.250.1834 > 178.32.215.69.6667: Flags [.], ack 1684329517, win 65535, length 0
07:18:20.468441 IP 178.32.215.69.6667 > 72.166.145.250.1834: Flags [R], seq 1684329517, win 0, length 0
07:18:20.468456 IP 85.115.96.51.1692 > 178.32.215.69.6667: Flags [.], ack 2911411801, win 65535, length 0
07:18:20.468463 IP 178.32.215.69.6667 > 85.115.96.51.1692: Flags [R], seq 2911411801, win 0, length 0
07:18:20.468478 IP 81.196.156.217.2000 > 178.32.215.69.12905: Flags [.], ack 2109042259, win 65535, length 0
07:18:20.468482 IP 193.169.87.111.1904 > 178.32.215.69.6667: Flags [.], ack 2031816816, win 65535, length 0
07:18:20.468488 IP 178.32.215.69.6667 > 193.169.87.111.1904: Flags [R], seq 2031816816, win 0, length 0
07:18:20.468503 IP 190.220.146.88.1545 > 178.32.215.69.6667: Flags [.], ack 1919558445, win 65535, length 0
07:18:20.468511 IP 178.32.215.69.6667 > 190.220.146.88.1545: Flags [R], seq 1919558445, win 0, length 0
07:18:20.468525 IP 69.72.227.45.1708 > 178.32.215.69.6667: Flags [.], ack 3013062144, win 65535, length 0
07:18:20.468533 IP 178.32.215.69.6667 > 69.72.227.45.1708: Flags [R], seq 3013062144, win 0, length 0
07:18:20.468547 IP 203.196.130.4.1109 > 178.32.215.69.15713: Flags [.], ack 755672953, win 65535, length 0
07:18:20.468552 IP 98.158.145.46.1830 > 178.32.215.69.6667: Flags [.], ack 286891887, win 65535, length 0
07:18:20.468557 IP 178.32.215.69.6667 > 98.158.145.46.1830: Flags [R], seq 286891887, win 0, length 0
07:18:20.468571 IP 75.125.159.16.1484 > 178.32.215.69.6667: Flags [.], ack 3451096335, win 65535, length 0
07:18:20.468578 IP 178.32.215.69.6667 > 75.125.159.16.1484: Flags [R], seq 3451096335, win 0, length 0
07:18:20.468593 IP 95.173.162.97.1584 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468600 IP 178.32.215.69.6667 > 95.173.162.97.1584: Flags [R], seq 503908388, win 0, length 0
07:18:20.468614 IP 211.143.131.7.1714 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468621 IP 178.32.215.69.6667 > 211.143.131.7.1714: Flags [R], seq 340300297, win 0, length 0
07:18:20.468636 IP 182.163.204.137.1219 > 178.32.215.69.66: Flags [.], ack 3427209519, win 65535, length 0
07:18:20.468641 IP 178.63.54.48.1642 > 178.32.215.69.130: Flags [.], ack 3250020723, win 65535, length 0
07:18:20.468643 IP 66.251.253.150.1528 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468648 IP 178.32.215.69.6667 > 66.251.253.150.1528: Flags [R], seq 3830487083, win 0, length 0
07:18:20.468670 IP 41.86.46.130.1517 > 178.32.215.69.6667: Flags [.], ack 1603463744, win 65535, length 0
07:18:20.468677 IP 178.32.215.69.6667 > 41.86.46.130.1517: Flags [R], seq 1603463744, win 0, length 0
07:18:20.468708 IP 178.63.54.48.1642 > 178.32.215.69.28: Flags [.], ack 3250020723, win 65535, length 0
07:18:20.468713 IP 80.86.106.254.1554 > 178.32.215.69.6667: Flags [.], ack 3401524832, win 65535, length 0
07:18:20.468719 IP 178.32.215.69.6667 > 80.86.106.254.1554: Flags [R], seq 3401524832, win 0, length 0
07:18:20.468734 IP 80.252.104.30.1322 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468742 IP 178.32.215.69.6667 > 80.252.104.30.1322: Flags [R], seq 1170383433, win 0, length 0
07:18:20.468756 IP 98.158.145.46.1830 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468763 IP 178.32.215.69.6667 > 98.158.145.46.1830: Flags [R], seq 286891887, win 0, length 0
07:18:20.468781 IP 87.229.24.109.1478 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468788 IP 178.32.215.69.6667 > 87.229.24.109.1478: Flags [R], seq 969638223, win 0, length 0
07:18:20.468803 IP 115.182.62.117.1650 > 178.32.215.69.61979: Flags [.], ack 1722208560, win 65535, length 0
07:18:20.468807 IP 201.221.151.54.1389 > 178.32.215.69.6667: Flags [.], ack 2979140725, win 65535, length 0
07:18:20.468813 IP 178.32.215.69.6667 > 201.221.151.54.1389: Flags [R], seq 2979140725, win 0, length 0
07:18:20.468827 IP 41.0.44.219.1990 > 178.32.215.69.6667: Flags [.], ack 2420736113, win 65535, length 0
07:18:20.468834 IP 178.32.215.69.6667 > 41.0.44.219.1990: Flags [R], seq 2420736113, win 0, length 0
07:18:20.468848 IP 78.47.246.116.1204 > 178.32.215.69.6667: Flags [.], ack 3168874352, win 65535, length 0
07:18:20.468855 IP 178.32.215.69.6667 > 78.47.246.116.1204: Flags [R], seq 3168874352, win 0, length 0
07:18:20.468870 IP 80.252.104.30.1322 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468877 IP 178.32.215.69.6667 > 80.252.104.30.1322: Flags [R], seq 1170383433, win 0, length 0
07:18:20.468890 IP 91.210.106.222.1173 > 178.32.215.69.6667: Flags [.], ack 1395616066, win 65535, length 0
07:18:20.468897 IP 178.32.215.69.6667 > 91.210.106.222.1173: Flags [R], seq 1395616066, win 0, length 0
07:18:20.468911 IP 74.126.17.86.1578 > 178.32.215.69.88: Flags [.], ack 3157162563, win 65535, length 0
07:18:20.468916 IP 211.168.170.157.1872 > 178.32.215.69.6667: Flags [.], ack 803299602, win 65535, length 0
07:18:20.468921 IP 178.32.215.69.6667 > 211.168.170.157.1872: Flags [R], seq 803299602, win 0, length 0
07:18:20.468936 IP 211.168.170.157.1872 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468943 IP 178.32.215.69.6667 > 211.168.170.157.1872: Flags [R], seq 803299602, win 0, length 0
07:18:20.468957 IP 211.168.170.157.1872 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.468964 IP 178.32.215.69.6667 > 211.168.170.157.1872: Flags [R], seq 803299602, win 0, length 0
07:18:20.468998 IP 219.94.144.224.1059 > 178.32.215.69.6667: Flags [.], ack 3949245215, win 65535, length 0
07:18:20.469006 IP 178.32.215.69.6667 > 219.94.144.224.1059: Flags [R], seq 3949245215, win 0, length 0
07:18:20.469024 IP 87.229.7.251.1557 > 178.32.215.69.6667: Flags [.], ack 3643454792, win 65535, length 0
07:18:20.469033 IP 178.32.215.69.6667 > 87.229.7.251.1557: Flags [R], seq 3643454792, win 0, length 0
07:18:20.469049 IP 85.142.19.182.1315 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.469056 IP 178.32.215.69.6667 > 85.142.19.182.1315: Flags [R], seq 2665194862, win 0, length 0
07:18:20.469070 IP 41.0.44.219.1990 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.469077 IP 178.32.215.69.6667 > 41.0.44.219.1990: Flags [R], seq 2420736113, win 0, length 0
07:18:20.469091 IP 60.191.145.168.1161 > 178.32.215.69.86: Flags [.], ack 525497949, win 65535, length 0
07:18:20.469095 IP 209.73.140.70.1801 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.469100 IP 178.32.215.69.6667 > 209.73.140.70.1801: Flags [R], seq 2434048873, win 0, length 0
07:18:20.469115 IP 218.38.16.137.1112 > 178.32.215.69.6667: Flags [.], ack 1084018244, win 65535, length 0
07:18:20.469122 IP 178.32.215.69.6667 > 218.38.16.137.1112: Flags [R], seq 1084018244, win 0, length 0
07:18:20.469136 IP 211.115.111.16.1107 > 178.32.215.69.42449: Flags [.], ack 3865999897, win 65535, length 0
07:18:20.469141 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
07:18:20.469146 IP 178.32.215.69.6667 > 59.63.158.116.1477: Flags [R], seq 1977131375, win 0, length 0
07:18:20.469160 IP 59.63.158.116.1477 > 178.32.215.69.6667: Flags [.], ack 1, win 65535, length 0
